genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HM,F,37,c-start,08-2019,1.6402258316516982,1.7624127173074853,3.1707349120317243
rei-HM,F,23,c-start,08-2019,1.6962665720495465,1.8623281150121376,3.9264677487077866
rei-HM,F,40,c-start,08-2019,1.4175356710201759,1.6011282587240285,2.964694193883788
rei-HM,F,71,c-start,08-2019,1.9071954982324213,1.9147214391125147,4.837817611821128
rei-HM,F,36,c-start,08-2019,1.5297874539601892,1.5821644591048822,3.2821270387267742
rei-HM,F,16,c-start,08-2019,1.5633985411626607,1.7056028687249774,3.3826611077520936
rei-HM,F,41,c-start,08-2019,1.57658786594212,1.4660532532180413,2.333814393685343
rei-HM,F,38,c-start,08-2019,2.6760106515441064,2.63103108829737,5.216781419712267
rei-HM,F,26,c-start,08-2019,1.4728200943277452,1.5854208774251781,2.7867033776967722
rei-HM,F,32,c-start,08-2019,1.6431078691466605,1.6935607876178922,2.7479481365771945
rei-HM,F,33,c-start,08-2019,1.3616965146108313,1.487645106335517,3.7521168253311217
rei-INT,M,8,c-start,08-2019,1.5837076015918534,1.7271176016421075,3.0065270371028934
rei-INT,M,30,c-start,08-2019,1.400167992928877,1.4594217653275956,2.8147815179326194
rei-INT,M,34,c-start,08-2019,1.5750674861973049,1.6089529736559307,2.9650323918452663
rei-INT,M,18,c-start,08-2019,1.941431444036212,1.9153417976026907,2.977529295252541
rei-INT,M,26,c-start,08-2019,1.6242952066448266,1.773574709854661,3.0124780179933794
rei-INT,M,4,c-start,08-2019,1.3218066634178627,1.3546844209717646,2.6271029776550767
rei-INT,M,10,c-start,08-2019,1.8265304781313194,1.85834105592524,3.0013527189457037
rei-INT,M,6,c-start,08-2019,1.7710878000988104,1.7670647176825558,2.07502596584499
rei-INT,M,20,c-start,08-2019,1.6259348061969154,1.7340595864459207,3.917228882154772
rei-INT,M,28,c-start,08-2019,1.8980793633294062,1.849239381302895,3.488058340432159
rei-INT,M,25,c-start,08-2019,1.4396138470361626,1.5232701783932654,3.5993738236081443
rei-INT,M,13,c-start,08-2019,1.8701241254470822,1.7412148260019364,3.261347150133895
rei-INT,M,90,c-start,08-2019,1.1752074548366411,1.2770917171174494,2.9273609868226425
rei-INT,M,33,c-start,08-2019,1.7484841088652314,1.8743266773161054,4.871815748601518
rei-INT,M,60,c-start,08-2019,1.6691602490882078,1.7547849998576588,4.195905484151413
rei-INT,M,12,c-start,08-2019,1.867314336469533,2.117951140609152,4.248037814599174
rei-INT,M,17,c-start,08-2019,1.7591062352595292,1.7135459644792241,2.9938639038829478
