sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
male,Salt,4.0,%,-0.5987069777588275,-0.5987069777588275,male_4.0
female,Salt,4.0,%,0.5489101697902591,0.290650406504065,female_4.0
male,Salt,4.0,%,0.2704193915120415,0.2464071017646678,male_4.0
female,Salt,4.0,%,0.6937515604076352,0.6937307063737062,female_4.0
male,Salt,4.0,%,0.3388738161756549,0.3302818844059381,male_4.0
female,Salt,4.0,%,-0.941277744171979,-0.9411868877517732,female_4.0
male,Salt,4.0,%,0.2373773877129581,0.2348175621076186,male_4.0
female,Salt,4.0,%,-0.2245779236220098,-0.2979343300434506,female_4.0
male,Salt,4.0,%,0.1215870350325236,0.1119474728466526,male_4.0
female,Salt,4.0,%,-0.0652383960756624,-0.0769346370236787,female_4.0
male,Salt,4.0,%,0.2409389454653858,0.2409389454653857,male_4.0
female,Salt,4.0,%,0.7269767119627074,0.7224748490945674,female_4.0
male,Salt,4.0,%,0.2694281192350729,0.2572383187627471,male_4.0
female,Salt,4.0,%,0.2894978120441759,0.2756415703602991,female_4.0
male,Salt,4.0,%,-0.9523115463447964,-0.9523115463447962,male_4.0
female,Salt,4.0,%,-0.2396940418679548,-0.2362117949184587,female_4.0
male,Salt,4.0,%,0.0642481392643531,0.061223225166794,male_4.0
female,Salt,4.0,%,-0.1924954470510899,-0.192546851594409,female_4.0
male,Salt,4.0,%,-0.1577311282756006,-0.1838047891773507,male_4.0
female,Salt,4.0,%,0.1745024396841414,0.1398714349207037,female_4.0
male,Salt,4.0,%,0.135707099325801,0.1064536955118242,male_4.0
female,Salt,4.0,%,0.995850622406639,0.9957455698847124,female_4.0
male,Salt,4.0,%,0.0571826797992938,-0.062059725551357,male_4.0
female,Salt,4.0,%,-0.4761021572030747,-0.4726869783971569,female_4.0
male,Salt,4.0,%,-0.3549505336137727,-0.3436118982976952,male_4.0
female,Salt,4.0,%,0.2931189806172392,0.2930467574445951,female_4.0
male,Salt,4.0,%,0.3324209214678937,0.3295861326221858,male_4.0
female,Salt,4.0,%,-0.9090133085011446,-0.9238679909282864,female_4.0
male,Salt,4.0,%,0.9878272416845836,1.0,male_4.0
female,Salt,4.0,%,-0.2951202084734365,0.2623160588611644,female_4.0
male,Salt,4.0,%,0.0761283851554664,0.0720236955842795,male_4.0
female,Salt,4.0,%,0.1357112434006557,0.1674065325405229,female_4.0
male,Salt,4.0,%,1.0,,male_4.0
female,Salt,4.0,%,0.446812496097571,0.1128652726089351,female_4.0
male,Salt,4.0,%,0.0359546321725822,0.0424344707557618,male_4.0
female,Salt,4.0,%,0.3332515665767232,0.3213795294892018,female_4.0
male,Salt,4.0,%,0.0508224180442992,0.0551696039614303,male_4.0
female,Salt,4.0,%,0.0474203010049526,-0.2424770768786924,female_4.0
male,Salt,4.0,%,0.7180838218182616,0.3990124727961996,male_4.0
female,Salt,4.0,%,-0.5999877896150676,-0.5496907216494845,female_4.0
male,Salt,4.0,%,-0.3277198636260918,-0.4154455279613704,male_4.0
female,Salt,4.0,%,-0.3876056898438277,-0.3628366210593861,female_4.0
male,Salt,4.0,%,-0.7994484833291553,-0.8652168264089469,male_4.0
female,Salt,4.0,%,-0.2697668947399376,-0.2387696709585121,female_4.0
